,id
0,1337875267096875015
1,1335698027537969155
2,1345699105385959435
3,1336874318882467842
4,1337717825629253633
5,1345688266109054978
6,1336039615203999745
7,1339045113373212674
8,1336479625397014529
9,1336669427408855043
10,1341111200596242432
11,1337511675394629632
12,1340792022962200577
13,1330446895970275328
14,1338409163148374019
15,1343721456023207942
16,1336331361116770310
17,1339775016070565894
18,1338002414423535617
19,1337440464023203840
20,1337250057419046912
21,1336200740738453504
22,1336491655373864963
23,1260966673714221056
24,1335919744298471424
25,1341854977342500865
26,1339386174838894593
27,1341134385098059776
28,1343957869075554304
29,1335945780474077187
30,1342088996030177280
31,1336735174567006210
32,1345509086847111168
33,1340809710862282760
34,1340814875920986112
35,1338392738266558465
36,1338368561513787392
37,1337174599470026755
38,1339335289806807043
39,1341457577582858241
40,1336145862393815040
41,1337355096611491840
42,1338876454952550402
43,1337069854793207808
44,1339368649614897156
45,1336350123085873158
46,1288514000225841152
47,1342055395632754688
48,1336734254667993088
49,1336161472263593984
50,1337004936538763271
51,1340184914172522496
52,1345599519774404609
53,1338964654312153089
54,1335748819636482049
55,1339054313579008000
56,1339755777905586176
57,1345099814879416320
58,1343937452449406976
59,1345072852333039616
60,1336088523045294088
61,1344731791899332608
62,1341586552099663872
63,1336009859704078338
64,1336327848450162690
65,1340315279528620032
66,1339060176205336578
67,1337429314518847494
68,1345347130529968128
69,1338132313960493058
70,1337362745621159936
71,1337077533540569089
72,1345096206968619009
73,1345369319107141634
74,1339618120701493249
75,1345717767954178048
76,1343831208757755904
77,1340543258808619008
78,1340299650339901442
79,1345083032948994050
80,1335788422712029185
81,1336753440278474753
82,1337558094373642243
83,1337063890908286977
84,1336510299885760519
85,1339035411033702400
86,1344843626271055874
87,1338363520228974593
88,1337063445158637574
89,1342675288631746562
90,1345166331910373376
91,1338242043429220353
92,1345093376987709441
93,1341559510549164032
94,1343954764661452803
95,1330542049066672131
96,1336443224546807808
97,1341227572005318660
98,1340318422673076224
99,1341130531036020738
100,1337877238637801473
101,1341866885453897731
102,1337881087490445313
103,1341003176040935426
104,1342674780965666819
105,1340701150199369728
106,1338136877870673922
107,1337728312278446082
108,1339760203869392903
109,1341858435349045251
110,1344751306725060619
111,1344745881699020814
112,1340769806992195584
113,1340071335616262146
114,1340794275567644673
115,1340433233855606786
116,1336763083029508097
117,1344053482819469312
118,1337448074403225600
119,1345236184176332800
120,1343666891877994496
121,1345162692294627328
122,1342028102420094976
123,1341546790600904704
124,1340502558117421058
125,1340938247770230784
126,1343876876381671432
127,1338960938117062663
128,1344281960026263552
129,1344297737647493122
130,1103286492443627521
131,1340899220719484928
132,1344277211654873088
133,1340099137765855232
134,1339264788157911042
135,1335657395666694151
136,1337041267641954304
137,1330400111998984192
138,1341218745457364998
139,1336343310500208641
140,1339672567934722048
141,1336538132125249537
142,1340671343302467584
143,1341138568698183680
144,1345426942669963265
145,1339584892422639619
146,1335962238000136192
147,1340669573566238727
148,1342700272980811776
149,1339847709856063488
150,1336707150559784962
151,1341569442837377027
152,1341582428931022849
153,1336172953025835010
154,1337179564058013699
155,1341054028881534987
156,1340079980085207049
157,1341574974281142272
158,1344877978723860483
159,1344236607507992576
160,1336908373506236417
161,1341153139219517440
162,1339786762621632513
163,1345096045923954688
164,1337155914688724998
165,1342534494037962753
166,1345159663596126208
167,1337148326500655105
168,1336357121751969793
169,1335376693016444929
170,1341519605068685320
171,1338158469870915584
172,1337621611986477057
173,1340108478967267329
174,1345088535632732161
175,1342523362246012937
176,1330571778566053888
177,1345103659743506439
178,1337005300163854338
179,1275845102825594880
180,1335779024677769217
181,1345852769681469441
182,1341757243528798209
183,1335792197162082304
184,1340668134253051905
185,1344611718333231105
186,1343694228602322944
187,1336599835844067328
188,1337420228586688513
189,1340886053196984322
190,1340664352467107840
191,1340529884469182465
192,1341114970344341506
193,1341030243700772866
194,1344780824781197312
195,1336603897029341185
196,1336972084589846528
197,1337240066259742721
198,1343854061905453057
199,1339693195173642240
200,1336730269055918080
201,1337730197353848833
202,1344214686347104257
203,1339594514940317701
204,1339329540406054918
205,1341101591147888640
206,1336095769850425349
207,1344133531044171776
208,1345879466359320578
209,1345320034411958272
210,1336879126804754432
211,1341616668695392256
212,1335997433638055937
213,1340612789652484101
214,1337041462362517507
215,1336566448508993544
216,1337584115160268802
217,1340875142721888257
218,1344813616378204160
219,1336509919164583936
220,1338156706140831745
221,1335860972926492672
222,1345167655821402112
223,1337666700548902912
224,1336403504143929355
225,1341884243744473088
226,1336748828272197632
227,1336059255506546688
228,1337889607338188803
229,1330561602219692032
230,1335055041774964736
231,1344808504733798401
232,1341890208116064257
233,1344334780503044097
234,1345017631477272576
235,1339425337818669057
236,1337066148907548672
237,1344787019088736262
238,1345881793442922497
239,1345011224447127552
240,1345144863197601792
241,1344013732427534336
242,1338159267615035400
243,1344259699089223682
244,1339847261375873025
245,1340591077204508672
246,1345737212839817216
247,1340079153660395520
248,1345416237384392706
249,1342662158316781568
250,1338429354737594371
251,1336398259254857732
252,1340099872054239234
253,1335991239565582338
254,1342090401994436609
255,1336371241129676808
256,1338332427731804166
257,1345443533923213313
258,1336355892200017921
259,1337089364074115075
260,1335679057103446016
261,1339608514600316930
262,1339678558604599297
263,1345022863732924416
264,1337786668514885637
265,1338893630342385665
266,1337734588525842433
267,1343992093300187140
268,1342691433426243584
269,1340885140558532609
270,1342647564013764608
271,1344248393351258112
272,1338324623998345218
273,1339349384576655363
274,1340342582866563073
275,1344313049356894209
276,1345468530205065218
277,1336021558679248896
278,1337073599467970560
279,1263854044289929221
280,942066760642990080
281,1338234946138361863
282,1344824425837948929
283,1335971106570833933
284,1338902943324581894
285,1336078767823843330
286,1344083521950760960
287,1335774723523764224
288,1339760139318923264
289,1340963542539841541
290,1339150390076473345
291,1343591807645601792
292,1341008113642647552
293,1337788421633433600
294,1336359434201731072
295,1339608515950817281
296,1337683205768368128
297,903693019140034560
298,1340697644545531904
299,1341834407909343232
300,1337152561216884737
301,1339760644992724993
302,1343957660639510528
303,1337559229054341120
304,1337622040728244227
305,1345503208651829253
306,1336669096197419016
307,1340631708123750400
308,1343025766578212866
309,1341931638201196544
310,1337856514581643264
311,1335606842949562369
312,1337152080478416899
